id,Key_phrases,ID,type
20db5f0c68ee8edcde134c362ef16962,"Cartridge Replacement",19,"Key_phrases"
1b743d87215572845b96da16d2238ff1,"Mambaink Ink",19,"Key_phrases"
21556e48c2925d6ddeb180a54c2a3b84,"Printer",19,"Key_phrases"
2930e3a262d712c2629de2db72c1bf01,"Envy",19,"Key_phrases"
475075d761c36cffd1d21b4a89e038b3,"Ink",19,"Key_phrases"
aabc7eb56233973e6b03001cb5109dd9,"Cartridge",19,"Key_phrases"
6c2528272178fe08b52e23c0b10ec209,"Replacement",19,"Key_phrases"
f487f03e7c7c63747c2bd44a586dd9cc,"Mambaink",19,"Key_phrases"
8bae95619e062db8fc04098d212d90bb,"tonercartridges 𝐊𝐧𝐨𝐰 𝐌𝐨𝐫𝐞",20,"Key_phrases"
56e478cfc2dae3442311dade18463091,"Releases New Patented",20,"Key_phrases"
0e7506cd2553710dc9f9c240db31a4a5,"𝐊𝐧𝐨𝐰 𝐌𝐨𝐫𝐞",20,"Key_phrases"
c4f052cd6324c29f28c569edd5dab541,"tonercartridges 𝐊𝐧𝐨𝐰",20,"Key_phrases"
cb584f0f3aca78c4681e78b687280acb,"kilider Releases",20,"Key_phrases"
869882ce58bbec46c33d7ff28639b3b5,"samsungprinters",20,"Key_phrases"
4eccf59c4a59629e1fcd471e0efb872f,"HPPrinters",20,"Key_phrases"
2dccd4da1a069ecf61db86f163de847b,"imagingmag",20,"Key_phrases"
c7812a21f72abe85df38cdbd2de14e92,"imagingsolution",20,"Key_phrases"
6e72ce07ea58e5f8891b7c218b792442,"Patented",20,"Key_phrases"
800ff3a07801e57d9011a87d279089f1,"𝐌𝐨𝐫𝐞",20,"Key_phrases"
0bbf1b2a301e749548c4e2526afd466c,"kilider",20,"Key_phrases"
7c8966121dff6927e7835bb1c7bb6f8b,"Releases",20,"Key_phrases"
60dfd93d70f525653417919027028356,"𝐊𝐧𝐨𝐰",20,"Key_phrases"
2e927bd186e9ba283fe156e0a97d2c6c,"tonercartridges",20,"Key_phrases"
6d0eef52d842e2d3b8c73dfeb25af240,"discountfess",21,"Key_phrases"
9353f710447fa9566f2eb44aa61ba89a,"Replying",21,"Key_phrases"
5f0973ddbcb718812b4542cd32599b12,"Multifunction Wireless Printer",22,"Key_phrases"
39d009ce4a4725682928c7e7080eefc4,"LaserJet Pro MFP",22,"Key_phrases"
5feeb0620e8ef94bbe8791d77bc3781b,"Colour LaserJet Pro",22,"Key_phrases"
a1961e96078dc8d6a9c71df1b6361ec8,"Pro MFP",22,"Key_phrases"
bc71c9aea5df1ebafe235084524d0799,"Multifunction Wireless",22,"Key_phrases"
e71c98ac2aa3528dcbcdd51415a1f8c2,"Printer with Fax",22,"Key_phrases"
95227b56f43fb0c9786b6b7975096aad,"Wireless Printer",22,"Key_phrases"
1a3ce9f0e8916c0b3260cdd09c016f82,"Amazon",22,"Key_phrases"
450ce404e6e0c06d9e601ace64529791,"Colour LaserJet",22,"Key_phrases"
3b6392904f917c67d89cd71e7434b13a,"LaserJet Pro",22,"Key_phrases"
3fd85efe7e72dce1816a82d2ae776d98,"MFP",22,"Key_phrases"
54c1ac2bd5953577e52420eaaba40fcb,"Multifunction",22,"Key_phrases"
adf913f7a4d31c030870e277c15d6fd2,"Fax",22,"Key_phrases"
34e57056e122b8a9a7a9c2b127ea862c,"Colour",22,"Key_phrases"
9028ef6289a129641f005ebba973f73c,"Pro",22,"Key_phrases"
0ea58853239adacc63a333c2c026c9fb,"Wireless",22,"Key_phrases"
7da39c3f429a2dff79460e25fc0c982a,"Printer",22,"Key_phrases"
19e0c1c9e0ff53b975278849cc2bc70e,"LaserJet",22,"Key_phrases"
52e558677908becc7b76f202c976603f,"APAPLIK Refilled Ink",23,"Key_phrases"
c319da90137bda3242adfc2e83704aae,"Refilled Ink Cartridge",23,"Key_phrases"
fe2ca15f49ea7c16e98fe2af0b2f8661,"Ink Cartridge Replacement",23,"Key_phrases"
b221e26afbf10e7d594bf61860477e2d,"APAPLIK Refilled",23,"Key_phrases"
da3f431cc76c6a0b479d7037470650e8,"Refilled Ink",23,"Key_phrases"
18b50a850d2046a8c3af1020a4623e3a,"Ink Cartridge",23,"Key_phrases"
37901895f2ff284e5060d4e0008fdadd,"Cartridge Replacement",23,"Key_phrases"
39f4931823c7ea6a3c4dc951e54875b4,"Deskjet",23,"Key_phrases"
1f1ef1dcc98579bf5b8129aacd094811,"Printer",23,"Key_phrases"
88f96d2287d734c1603f3f97255ac4fb,"APAPLIK",23,"Key_phrases"
6c5ad23312989dce9b0ea75342496e00,"Refilled",23,"Key_phrases"
5bd93ddfe3413add5a7406625fadaf31,"Ink",23,"Key_phrases"
c1260b0755671fd63d15149321759164,"Cartridge",23,"Key_phrases"
c7c7c270b9243eecd02f24716feca1ed,"Replacement",23,"Key_phrases"
08a31edd94e6015f1d7b44d1a92528c8,"disables customers’ printers",24,"Key_phrases"
a902f8688f187fc7fee969a3ad10c4e2,"ink cartridges",24,"Key_phrases"
389953d16e81be43b18e0df1467d14fe,"disables customers’",24,"Key_phrases"
35179233dcd7e4d016589dd053a1ba81,"customers’ printers",24,"Key_phrases"
463e8fb8c532ffc5c0d9dac816813fa3,"cartridges",24,"Key_phrases"
6818bff6075cd5c3e7c7a393bc87adbc,"disables",24,"Key_phrases"
f33f8a692ca0d615044e8e9e9ca92ed9,"customers’",24,"Key_phrases"
5319bc059e8d9ab2f78e4f37923da177,"printers",24,"Key_phrases"
b868bbd96f11cfaa959ef1b0ca64eba4,"ink",24,"Key_phrases"
75496128333f9b854b35ad733573818e,"Replying",25,"Key_phrases"
2049650294de730d9ce150584a56a79f,"USB High Speed",26,"Key_phrases"
fa6f8c1cff90707584921bdf27385e72,"Epson Printer Cord",26,"Key_phrases"
006bde5e9c716a8ebfac127d422a7b5f,"Canon Brother Samsung",26,"Key_phrases"
20961d7dd37e883b37d0d8d73a3f9bea,"USB High",26,"Key_phrases"
fc3de922245055efc2d7aae7a1db7b46,"High Speed",26,"Key_phrases"
1a4b2ee69c02631a28d09ce047075a2c,"Printer Cord",26,"Key_phrases"
d1f1b579d0546ceaa96ea1c09053ddf4,"Male Cable",26,"Key_phrases"
b70198b1ca112e4efe7e490fff9e7c9a,"Cable for Canon",26,"Key_phrases"
8b683825e9106fe018fab4b3c41efd0f,"Canon Brother",26,"Key_phrases"
25827ccabfa4079a6ed541b97197f3d3,"Brother Samsung",26,"Key_phrases"
5119f25ce7e2c3dc9240ca0badd8f838,"Samsung Hp Epson",26,"Key_phrases"
8649785ccc6a195fe080e76152ae6a7b,"Epson Printer",26,"Key_phrases"
b14199dd8f131761a7af0e3bbb586e3e,"USB",26,"Key_phrases"
6901aea74bf9b16a47eb3cc700349fa7,"Speed",26,"Key_phrases"
ba888b801678d03f70af686f5b37d49e,"Cord",26,"Key_phrases"
41144f2af373efc0519397744327eb7d,"High",26,"Key_phrases"
69ae4fe61295f7740fb2c89155bf33e4,"Male",26,"Key_phrases"
d7d768b99dd247be8ad9d5f19665ac60,"Cable",26,"Key_phrases"
e1f025dbad0c6ba412d803b7a6c7cabb,"Canon",26,"Key_phrases"
8a66b1cc300a1a9450522662e7755370,"Brother",26,"Key_phrases"
63572a9989d901931968414d4e944536,"discountfess",27,"Key_phrases"
cc0d47906620cb62076c92f6c5c4c730,"Replying",27,"Key_phrases"
f79ac3eba5c3b3462779c9fda2a8699e,"Replying",28,"Key_phrases"
4aaa3d5b12bf1e457c468e938c6d6d85,"Instant Ink payment",29,"Key_phrases"
5900289d9af2e7aaa156d88e242eb72f,"missed Instant Ink",29,"Key_phrases"
4116340de9e974128e12519a53139152,"Instant Ink",29,"Key_phrases"
f3785177690332dd0d65375af19cf849,"printer",29,"Key_phrases"
77ad8aa986e05419b8f449acb72487e2,"ink",29,"Key_phrases"
8f5dfeebd3d16725b5ecca646ec35707,"missed Instant",29,"Key_phrases"
96c43f31064aabb5592d1d6c79aafcc3,"paid",29,"Key_phrases"
be73628614da253e50c22ad05c5c472f,"Ink payment",29,"Key_phrases"
7a6dc8fc93041307a006f502c6962144,"paper",29,"Key_phrases"
b259354ea225d4d8dc951a1960ba2540,"Instant",29,"Key_phrases"
a42f358c3b4a9ed02025cba0f98ce5dd,"block my printer",29,"Key_phrases"
59e12d2474ac4284e6d2de25c20e8eed,"payment",29,"Key_phrases"
e0c506d262843c4b2a6c497d64634207,"printer from printing",29,"Key_phrases"
af2f9765a01827e9439191796ebbba86,"block",29,"Key_phrases"
fdc68984109ecb1e3b65c6665f63c20a,"printing",29,"Key_phrases"
8f2ecb1be04c379210126fb41dd14e55,"missed",29,"Key_phrases"
73b91a35135239b61b4fbafc4c7a9a36,"ARC Auto Reset",30,"Key_phrases"
d1ab9bc76144b1766e6ebc1416246b8d,"Auto Reset Permanent",30,"Key_phrases"
ab22d3cd0867c9f3dbc69b65fb7db153,"Reset Permanent Chips",30,"Key_phrases"
86ae88917db8a52346dc76f4c98490c7,"ARC Auto",30,"Key_phrases"
815dfd1317800495922f8faaad2c030b,"Auto Reset",30,"Key_phrases"
82c46f3753004661729a1e164b57b4ad,"Reset Permanent",30,"Key_phrases"
eb57e133e89ad904f0f2c53bce09a530,"Permanent Chips",30,"Key_phrases"
26608def4d7f148a7f2a270a5dfa174b,"Printers",30,"Key_phrases"
3f33675313002399eafa075326c14d2f,"BOMA-TEAM",30,"Key_phrases"
cef9b1b53d0fb576c0cfb238cf807d53,"ARC",30,"Key_phrases"
d62de2698ab8d0c3a6a7efda3beb68de,"Officejet",30,"Key_phrases"
0931308e380872214a88f46fe3e3aa85,"Auto",30,"Key_phrases"
47f4c5379814217b41f43bb1bbe6cac1,"Reset",30,"Key_phrases"
8a9fa049ee20413f0946875d21c58619,"Permanent",30,"Key_phrases"
